ap_id	geo_id
30006	3300101060
30013	3300103220
30018	3300104740
30036	3300110660
30080	3300128740
30081	3300128980
30116	3300140180
30138	3300147140
30155	3300151540
30191	3300167300
30215	3300177060
30002	3300300420
30015	3300303700
30029	3300307940
30038	3300311780
30047	3300314660
30065	3300323380
30066	3300323620
30078	3300327700
30110	3300338260
30133	3300345060
30147	3300349380
30169	3300358740
30193	3300367780
30212	3300376100
30217	3300377620
30219	3300378180
30236	3300386420
30005	3300500820
30040	3300512260
30059	3300519140
30074	3300526500
30082	3300529220
30097	3300534420
30104	3300536660
30111	3300538500
30113	3300539300
30135	3300545460
30136	3300545700
30149	3300550580
30182	3300564420
30183	3300564580
30186	3300565700
30202	3300573700
30207	3300574900
30209	3300575300
30211	3300575700
30216	3300577380
30220	3300578420
30229	3300582660
30233	3300585540
30021	3300705140
30035	3300710100
30043	3300713220
30044	3300713780
30045	3300713940
30050	3300716820
30056	3300718420
30060	3300719300
30071	3300725140
30084	3300730260
30112	3300738820
30117	3300740420
30141	3300747860
30143	3300748260
30164	3300756100
30174	3300761780
30180	3300763860
30196	3300768980
30200	3300773060
30201	3300773380
30204	3300774180
30230	3300784420
30003	3300900580
30010	3300902020
30016	3300903940
30020	3300905060
30022	3300905460
30027	3300907540
30028	3300907700
30031	3300908660
30032	3300908980
30057	3300918740
30064	3300922020
30067	3300923860
30068	3300924340
30076	3300927300
30086	3300930820
30091	3300932180
30096	3300933860
30099	3300934820
30100	3300935220
30105	3300936900
30118	3300940660
30120	3300941300
30123	3300941860
30124	3300942020
30126	3300942580
30129	3300944100
30130	3300944260
30145	3300948980
30167	3300958340
30168	3300958500
30173	3300961060
30178	3300962660
30187	3300965940
30206	3300974740
30214	3300976740
30222	3300978740
30227	3300980500
30237	3300987060
30007	3301101300
30009	3301101700
30017	3301104500
30019	3301104900
30030	3301108100
30054	3301117780
30075	3301127140
30083	3301129860
30088	3301131540
30090	3301131940
30095	3301133700
30103	3301136180
30106	3301137140
30109	3301137940
30125	3301142260
30131	3301144580
30134	3301145140
30137	3301146260
30139	3301147540
30142	3301148020
30146	3301149140
30148	3301150260
30150	3301150740
30157	3301151940
30170	3301159940
30172	3301160580
30195	3301168820
30213	3301176260
30225	3301179780
30232	3301185220
30235	3301185940
30004	3301300660
30008	3301301460
30023	3301306260
30024	3301306500
30025	3301306980
30034	3301309860
30041	3301312420
30046	3301314200
30051	3301316980
30061	3301319460
30070	3301324900
30077	3301327380
30101	3301335540
30102	3301335860
30107	3301337300
30108	3301337540
30128	3301343380
30158	3301352100
30151	3301350900
30162	3301354260
30171	3301360020
30175	3301361940
30190	3301366980
30210	3301375460
30221	3301378580
30226	3301380020
30231	3301384900
30011	3301502340
30012	3301502820
30026	3301507220
30033	3301509300
30039	3301512100
30052	3301517140
30053	3301517460
30055	3301517940
30063	3301521380
30069	3301524660
30072	3301525380
30079	3301527940
30089	3301531700
30092	3301532900
30093	3301533060
30094	3301533460
30114	3301539780
30115	3301540100
30127	3301543220
30152	3301550980
30154	3301551380
30156	3301551620
30159	3301552340
30161	3301552900
30163	3301554580
30165	3301556820
30166	3301557460
30177	3301562500
30179	3301562900
30181	3301564020
30188	3301566180
30189	3301566660
30192	3301567620
30194	3301568260
30198	3301571140
30205	3301574340
30234	3301585780
30014	3301703460
30058	3301718820
30062	3301719700
30073	3301726020
30121	3301741460
30132	3301744820
30140	3301747700
30144	3301748660
30153	3301751220
30184	3301765140
30185	3301765540
30197	3301769940
30203	3301773860
30001	3301900260
30037	3301911380
30042	3301912900
30048	3301915060
30049	3301916340
30085	3301930500
30087	3301931220
30119	3301940900
30122	3301941700
30160	3301952580
30176	3301962340
30199	3301972740
30208	3301975060
30218	3301977940
30223	3301978980
30098	3300334500
30314	3300780740
30224	3300979380
	3300332500
	3300702420
	3300704260
	3300704100
	3300708420
	3300711220
	3300716100
	3300716660
	3300718340
	3300725180
	3300731780
	3300732420
	3300739940
	3300743620
	3300746020
	3300757860
	3300761620
	3300767860
	3300768500
	3300774500
	3300776580
	3300942820
	3301500000
